id,duration(ms),warps,t-occupancy,sms,size,input
0,0.051008,0,0,0,554496,554496
1,1.051943,1262,0.25,14,0,138624
2,0.051233,256,1.0,4,0,138624
3,0.001664,0,1,0,0,1
4,0.126624,512,1,7,0,1290496
5,1.952077,250,0.25,8,0,322624
6,0.009952,128,1.0,2,0,322624
7,0.001568,0,1,0,0,1
8,0.103713,1520,1.0,12,0,1520
9,0.213633,122528,1,15,0,122528
10,0.001856,0,0,0,5184,5184
11,0.304258,96,0.375,4,0,1296
12,0.216034,122528,1,15,0,122528
13,0.304546,96,0.375,4,0,1296
14,0.209121,122528,1,15,0,122528
15,0.300482,96,0.375,4,0,1296
16,0.216226,122528,1,15,0,122528
17,0.302658,96,0.375,4,0,1296
18,0.217089,122528,1,15,0,122528
19,0.30301,96,0.375,4,0,1296
20,0.217538,122528,1,15,0,122528
21,0.302754,96,0.375,4,0,1296
22,0.213377,122528,1,15,0,122528
23,0.301026,96,0.375,4,0,1296
24,0.214081,122528,1,15,0,122528
25,0.302274,96,0.375,4,0,1296
26,0.215842,122528,1,15,0,122528
27,0.319842,96,0.375,4,0,1296
28,0.216769,122528,1,15,0,122528
29,0.303618,96,0.375,4,0,1296
30,0.208898,122528,1,15,0,122528
31,0.30237,96,0.375,4,0,1296
32,0.214529,122528,1,15,0,122528
33,0.301634,96,0.375,4,0,1296
34,0.216162,122528,1,15,0,122528
35,0.301922,96,0.375,4,0,1296
36,0.218689,122528,1,15,0,122528
37,0.30253,96,0.375,4,0,1296
38,0.213122,122528,1,15,0,122528
39,0.302306,96,0.375,4,0,1296
40,0.210945,122528,1,15,0,122528
41,0.303682,96,0.375,4,0,1296
42,0.004736,1520,1,12,0,1520
43,0.104577,1520,1.0,12,0,1520
44,0.213441,122528,1,15,0,122528
45,0.30285,96,0.375,4,0,1296
46,0.216802,122528,1,15,0,122528
47,0.300994,96,0.375,4,0,1296
48,0.208417,122528,1,15,0,122528
49,0.301698,96,0.375,4,0,1296
50,0.215265,122528,1,15,0,122528
51,0.300866,96,0.375,4,0,1296
52,0.21725,122528,1,15,0,122528
53,0.300962,96,0.375,4,0,1296
54,0.216449,122528,1,15,0,122528
