id,start(ms),duration(ms),warps,t-occupancy,sms,size,input
0,0,1.731894,0,0,0,4300800,0
1,1.734,0.370851,672,0.25,14,0,161280000
2,2.142,0.003136,0,0,0,14336,0
3,2.149,0.048896,8960,1,14,0,537600
4,2.2,0.049537,33600,1,15,0,0
5,2.253,0.124321,448,0.375,10,0,24192000
6,2.399,0.003136,0,0,0,14336,0
7,2.429,0.011296,1792,1,14,0,80640
8,2.448,0.058209,0,0,0,645120,0
