id,start(ms),duration(ms),warps,t-occupancy,sms,size,input
0,0,2.675734,0,0,0,5376000,0
1,2.681,0.438755,672,0.25,14,0,201600000
2,3.161,0.003201,0,0,0,14336,0
3,3.168,0.048832,8960,1,14,0,537600
4,3.22,0.04928,33600,1,15,0,0
5,3.273,0.069089,224,0.375,10,0,9139200
6,3.366,0.003168,0,0,0,14336,0
7,3.391,0.006304,896,1,7,0,30464
8,3.408,0.024097,0,0,0,243712,0
